Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1,Variance
28,Des28,Superiority,1,1-Sided,0.005,0.906884965659594,1,42,0.1,0.59,0.49,Unpooled Estimate
29,Des29,Superiority,1,1-Sided,0.005,0.902938101126415,1,47,0.3,0.79,0.49,Unpooled Estimate
30,Des30,Superiority,1,1-Sided,0.005,0.907976399273393,1,33,0.5,0.99,0.49,Unpooled Estimate
31,Des31,Superiority,1,1-Sided,0.025,0.908921978418164,1,30,0.1,0.59,0.49,Unpooled Estimate
32,Des32,Superiority,1,1-Sided,0.025,0.900854348817369,1,33,0.3,0.79,0.49,Unpooled Estimate
33,Des33,Superiority,1,1-Sided,0.025,0.903108235182994,1,23,0.5,0.99,0.49,Unpooled Estimate
34,Des34,Superiority,1,1-Sided,0.05,0.903454236398031,1,24,0.1,0.59,0.49,Unpooled Estimate
35,Des35,Superiority,1,1-Sided,0.05,0.901756428789143,1,27,0.3,0.79,0.49,Unpooled Estimate
36,Des36,Superiority,1,1-Sided,0.05,0.906184842101726,1,19,0.5,0.99,0.49,Unpooled Estimate
37,Des37,Superiority,1,1-Sided,0.1,0.909873257079295,1,19,0.1,0.59,0.49,Unpooled Estimate
38,Des38,Superiority,1,1-Sided,0.1,0.9045936822957,1,21,0.3,0.79,0.49,Unpooled Estimate
39,Des39,Superiority,1,1-Sided,0.1,0.91160051325007,1,15,0.5,0.99,0.49,Unpooled Estimate
40,Des40,Superiority,1,1-Sided,0.245,0.903946913485695,1,11,0.1,0.59,0.49,Unpooled Estimate
41,Des41,Superiority,1,1-Sided,0.245,0.911054998955076,1,13,0.3,0.79,0.49,Unpooled Estimate
42,Des42,Superiority,1,1-Sided,0.245,0.911268309557517,1,9,0.5,0.99,0.49,Unpooled Estimate
43,Des43,Superiority,1,1-Sided,0.005,0.990537395579107,1,67,0.1,0.59,0.49,Unpooled Estimate
44,Des44,Superiority,1,1-Sided,0.005,0.990633972419253,1,76,0.3,0.79,0.49,Unpooled Estimate
45,Des45,Superiority,1,1-Sided,0.005,0.991154273342816,1,53,0.5,0.99,0.49,Unpooled Estimate
46,Des46,Superiority,1,1-Sided,0.025,0.990229069077355,1,51,0.1,0.59,0.49,Unpooled Estimate
47,Des47,Superiority,1,1-Sided,0.025,0.990458452290187,1,58,0.3,0.79,0.49,Unpooled Estimate
48,Des48,Superiority,1,1-Sided,0.025,0.990317964143258,1,40,0.5,0.99,0.49,Unpooled Estimate
49,Des49,Superiority,1,1-Sided,0.05,0.99047399020096,1,44,0.1,0.59,0.49,Unpooled Estimate
50,Des50,Superiority,1,1-Sided,0.05,0.9906431929007,1,50,0.3,0.79,0.49,Unpooled Estimate
51,Des51,Superiority,1,1-Sided,0.05,0.991247885456785,1,35,0.5,0.99,0.49,Unpooled Estimate
52,Des52,Superiority,1,1-Sided,0.1,0.990016436588231,1,36,0.1,0.59,0.49,Unpooled Estimate
53,Des53,Superiority,1,1-Sided,0.1,0.990280858911237,1,41,0.3,0.79,0.49,Unpooled Estimate
54,Des54,Superiority,1,1-Sided,0.1,0.991306342349976,1,29,0.5,0.99,0.49,Unpooled Estimate
55,Des55,Superiority,1,1-Sided,0.245,0.991257342694717,1,26,0.1,0.59,0.49,Unpooled Estimate
56,Des56,Superiority,1,1-Sided,0.245,0.990688313234996,1,29,0.3,0.79,0.49,Unpooled Estimate
57,Des57,Superiority,1,1-Sided,0.245,0.99059124970348,1,20,0.5,0.99,0.49,Unpooled Estimate
58,Des58,Superiority,1,1-Sided,0.005,0.510417251618913,1,1178,0.1,0.15,0.05,Unpooled Estimate
59,Des59,Superiority,1,1-Sided,0.005,0.510079943502201,1,2368,0.3,0.35,0.05,Unpooled Estimate
60,Des60,Superiority,1,1-Sided,0.005,0.510127271851944,1,2693,0.5,0.55,0.05,Unpooled Estimate
61,Des61,Superiority,1,1-Sided,0.005,0.510041849448066,1,1556,0.8,0.85,0.05,Unpooled Estimate
62,Des62,Superiority,1,1-Sided,0.005,0.510617430045961,1,745,0.9,0.95,0.05,Unpooled Estimate
63,Des63,Superiority,1,1-Sided,0.025,0.510218273902343,1,686,0.1,0.15,0.05,Unpooled Estimate
64,Des64,Superiority,1,1-Sided,0.025,0.510251254106924,1,1380,0.3,0.35,0.05,Unpooled Estimate
65,Des65,Superiority,1,1-Sided,0.025,0.510186369567078,1,1569,0.5,0.55,0.05,Unpooled Estimate
66,Des66,Superiority,1,1-Sided,0.025,0.510313625764312,1,907,0.8,0.85,0.05,Unpooled Estimate
67,Des67,Superiority,1,1-Sided,0.025,0.510512046681392,1,434,0.9,0.95,0.05,Unpooled Estimate
68,Des68,Superiority,1,1-Sided,0.05,0.510532614040688,1,486,0.1,0.15,0.05,Unpooled Estimate
69,Des69,Superiority,1,1-Sided,0.05,0.510332749375183,1,977,0.3,0.35,0.05,Unpooled Estimate
70,Des70,Superiority,1,1-Sided,0.05,0.510036234233219,1,1110,0.5,0.55,0.05,Unpooled Estimate
71,Des71,Superiority,1,1-Sided,0.05,0.510317923161,1,642,0.8,0.85,0.05,Unpooled Estimate
72,Des72,Superiority,1,1-Sided,0.05,0.510270746553389,1,307,0.9,0.95,0.05,Unpooled Estimate
73,Des73,Superiority,1,1-Sided,0.1,0.510821403182261,1,298,0.1,0.15,0.05,Unpooled Estimate
74,Des74,Superiority,1,1-Sided,0.1,0.510200550550157,1,598,0.3,0.35,0.05,Unpooled Estimate
75,Des75,Superiority,1,1-Sided,0.1,0.510196169963612,1,680,0.5,0.55,0.05,Unpooled Estimate
76,Des76,Superiority,1,1-Sided,0.1,0.510219500910227,1,393,0.8,0.85,0.05,Unpooled Estimate
77,Des77,Superiority,1,1-Sided,0.1,0.510279792774362,1,188,0.9,0.95,0.05,Unpooled Estimate
78,Des78,Superiority,1,1-Sided,0.245,0.511522295441933,1,90,0.1,0.15,0.05,Unpooled Estimate
79,Des79,Superiority,1,1-Sided,0.245,0.510701675969464,1,180,0.3,0.35,0.05,Unpooled Estimate
80,Des80,Superiority,1,1-Sided,0.245,0.510222215552144,1,204,0.5,0.55,0.05,Unpooled Estimate
81,Des81,Superiority,1,1-Sided,0.245,0.51035606051588,1,118,0.8,0.85,0.05,Unpooled Estimate
82,Des82,Superiority,1,1-Sided,0.245,0.511782899647254,1,57,0.9,0.95,0.05,Unpooled Estimate
83,Des83,Superiority,1,1-Sided,0.005,0.800202255997275,1,2033,0.1,0.15,0.05,Unpooled Estimate
84,Des84,Superiority,1,1-Sided,0.005,0.80004225923797,1,4088,0.3,0.35,0.05,Unpooled Estimate
85,Des85,Superiority,1,1-Sided,0.005,0.800079299938958,1,4649,0.5,0.55,0.05,Unpooled Estimate
86,Des86,Superiority,1,1-Sided,0.005,0.800149071660591,1,2687,0.8,0.85,0.05,Unpooled Estimate
87,Des87,Superiority,1,1-Sided,0.005,0.800116709143578,1,1285,0.9,0.95,0.05,Unpooled Estimate
88,Des88,Superiority,1,1-Sided,0.025,0.800084673756238,1,1366,0.1,0.15,0.05,Unpooled Estimate
89,Des89,Superiority,1,1-Sided,0.025,0.800127317374391,1,2748,0.3,0.35,0.05,Unpooled Estimate
90,Des90,Superiority,1,1-Sided,0.025,0.800018310928734,1,3124,0.5,0.55,0.05,Unpooled Estimate
91,Des91,Superiority,1,1-Sided,0.025,0.800164535034926,1,1806,0.8,0.85,0.05,Unpooled Estimate
92,Des92,Superiority,1,1-Sided,0.025,0.800282915384828,1,864,0.9,0.95,0.05,Unpooled Estimate
93,Des93,Superiority,1,1-Sided,0.05,0.800076033686398,1,1076,0.1,0.15,0.05,Unpooled Estimate
94,Des94,Superiority,1,1-Sided,0.05,0.800016883254073,1,2164,0.3,0.35,0.05,Unpooled Estimate
95,Des95,Superiority,1,1-Sided,0.05,0.800048401743358,1,2461,0.5,0.55,0.05,Unpooled Estimate
96,Des96,Superiority,1,1-Sided,0.05,0.800002897047852,1,1422,0.8,0.85,0.05,Unpooled Estimate
97,Des97,Superiority,1,1-Sided,0.05,0.800469693216778,1,681,0.9,0.95,0.05,Unpooled Estimate
98,Des98,Superiority,1,1-Sided,0.1,0.800239291849856,1,785,0.1,0.15,0.05,Unpooled Estimate
99,Des99,Superiority,1,1-Sided,0.1,0.800046719021291,1,1578,0.3,0.35,0.05,Unpooled Estimate
100,Des100,Superiority,1,1-Sided,0.1,0.800144174290524,1,1795,0.5,0.55,0.05,Unpooled Estimate
101,Des101,Superiority,1,1-Sided,0.1,0.80005490714257,1,1037,0.8,0.85,0.05,Unpooled Estimate
102,Des102,Superiority,1,1-Sided,0.1,0.800080958163966,1,496,0.9,0.95,0.05,Unpooled Estimate
103,Des103,Superiority,1,1-Sided,0.245,0.800343714333248,1,409,0.1,0.15,0.05,Unpooled Estimate
104,Des104,Superiority,1,1-Sided,0.245,0.800160909655102,1,822,0.3,0.35,0.05,Unpooled Estimate
105,Des105,Superiority,1,1-Sided,0.245,0.800222507023788,1,935,0.5,0.55,0.05,Unpooled Estimate
106,Des106,Superiority,1,1-Sided,0.245,0.800092849774519,1,540,0.8,0.85,0.05,Unpooled Estimate
107,Des107,Superiority,1,1-Sided,0.245,0.800705527188568,1,259,0.9,0.95,0.05,Unpooled Estimate
108,Des108,Superiority,1,1-Sided,0.005,0.900128916287275,1,2590,0.1,0.15,0.05,Unpooled Estimate
109,Des109,Superiority,1,1-Sided,0.005,0.900013939172911,1,5208,0.3,0.35,0.05,Unpooled Estimate
110,Des110,Superiority,1,1-Sided,0.005,0.900000222409641,1,5922,0.5,0.55,0.05,Unpooled Estimate
111,Des111,Superiority,1,1-Sided,0.005,0.90007326005456,1,3423,0.8,0.85,0.05,Unpooled Estimate
112,Des112,Superiority,1,1-Sided,0.005,0.90005528729381,1,1637,0.9,0.95,0.05,Unpooled Estimate
113,Des113,Superiority,1,1-Sided,0.025,0.900110153621467,1,1829,0.1,0.15,0.05,Unpooled Estimate
114,Des114,Superiority,1,1-Sided,0.025,0.900031082189043,1,3678,0.3,0.35,0.05,Unpooled Estimate
115,Des115,Superiority,1,1-Sided,0.025,0.900003102750271,1,4182,0.5,0.55,0.05,Unpooled Estimate
116,Des116,Superiority,1,1-Sided,0.025,0.900034443975076,1,2417,0.8,0.85,0.05,Unpooled Estimate
117,Des117,Superiority,1,1-Sided,0.025,0.900045139885565,1,1156,0.9,0.95,0.05,Unpooled Estimate
118,Des118,Superiority,1,1-Sided,0.05,0.90015336081916,1,1491,0.1,0.15,0.05,Unpooled Estimate
119,Des119,Superiority,1,1-Sided,0.05,0.900055966025347,1,2998,0.3,0.35,0.05,Unpooled Estimate
120,Des120,Superiority,1,1-Sided,0.05,0.900044347536417,1,3409,0.5,0.55,0.05,Unpooled Estimate
121,Des121,Superiority,1,1-Sided,0.05,0.900041073179448,1,1970,0.8,0.85,0.05,Unpooled Estimate
122,Des122,Superiority,1,1-Sided,0.05,0.900265939453334,1,943,0.9,0.95,0.05,Unpooled Estimate
123,Des123,Superiority,1,1-Sided,0.1,0.900178385861359,1,1144,0.1,0.15,0.05,Unpooled Estimate
124,Des124,Superiority,1,1-Sided,0.1,0.90006608487005,1,2300,0.3,0.35,0.05,Unpooled Estimate
125,Des125,Superiority,1,1-Sided,0.1,0.900029236367786,1,2615,0.5,0.55,0.05,Unpooled Estimate
126,Des126,Superiority,1,1-Sided,0.1,0.900002312761014,1,1511,0.8,0.85,0.05,Unpooled Estimate
127,Des127,Superiority,1,1-Sided,0.1,0.900110509185755,1,723,0.9,0.95,0.05,Unpooled Estimate
128,Des128,Superiority,1,1-Sided,0.245,0.900114353584113,1,677,0.1,0.15,0.05,Unpooled Estimate
129,Des129,Superiority,1,1-Sided,0.245,0.900015041533451,1,1361,0.3,0.35,0.05,Unpooled Estimate
130,Des130,Superiority,1,1-Sided,0.245,0.900054001871069,1,1548,0.5,0.55,0.05,Unpooled Estimate
131,Des131,Superiority,1,1-Sided,0.245,0.900136564377943,1,895,0.8,0.85,0.05,Unpooled Estimate
132,Des132,Superiority,1,1-Sided,0.245,0.90011899807544,1,428,0.9,0.95,0.05,Unpooled Estimate
133,Des133,Superiority,1,1-Sided,0.005,0.990008536737671,1,4182,0.1,0.15,0.05,Unpooled Estimate
134,Des134,Superiority,1,1-Sided,0.005,0.990000237698437,1,8411,0.3,0.35,0.05,Unpooled Estimate
135,Des135,Superiority,1,1-Sided,0.005,0.990003593617323,1,9565,0.5,0.55,0.05,Unpooled Estimate
136,Des136,Superiority,1,1-Sided,0.005,0.990009351157506,1,5528,0.8,0.85,0.05,Unpooled Estimate
137,Des137,Superiority,1,1-Sided,0.005,0.990013644329008,1,2644,0.9,0.95,0.05,Unpooled Estimate
138,Des138,Superiority,1,1-Sided,0.025,0.990003400234385,1,3197,0.1,0.15,0.05,Unpooled Estimate
139,Des139,Superiority,1,1-Sided,0.025,0.990005645486189,1,6431,0.3,0.35,0.05,Unpooled Estimate
140,Des140,Superiority,1,1-Sided,0.025,0.990005913160916,1,7313,0.5,0.55,0.05,Unpooled Estimate
141,Des141,Superiority,1,1-Sided,0.025,0.990004487422721,1,4226,0.8,0.85,0.05,Unpooled Estimate
142,Des142,Superiority,1,1-Sided,0.025,0.990000801817884,1,2021,0.9,0.95,0.05,Unpooled Estimate
143,Des143,Superiority,1,1-Sided,0.05,0.990018174133918,1,2745,0.1,0.15,0.05,Unpooled Estimate
144,Des144,Superiority,1,1-Sided,0.05,0.990003312210412,1,5520,0.3,0.35,0.05,Unpooled Estimate
145,Des145,Superiority,1,1-Sided,0.05,0.990003071389069,1,6277,0.5,0.55,0.05,Unpooled Estimate
146,Des146,Superiority,1,1-Sided,0.05,0.990011643265921,1,3628,0.8,0.85,0.05,Unpooled Estimate
147,Des147,Superiority,1,1-Sided,0.05,0.990007667918474,1,1735,0.9,0.95,0.05,Unpooled Estimate
148,Des148,Superiority,1,1-Sided,0.1,0.990001119133855,1,2265,0.1,0.15,0.05,Unpooled Estimate
149,Des149,Superiority,1,1-Sided,0.1,0.990000755267502,1,4556,0.3,0.35,0.05,Unpooled Estimate
150,Des150,Superiority,1,1-Sided,0.1,0.990002398962982,1,5181,0.5,0.55,0.05,Unpooled Estimate
151,Des151,Superiority,1,1-Sided,0.1,0.990001672818705,1,2994,0.8,0.85,0.05,Unpooled Estimate
152,Des152,Superiority,1,1-Sided,0.1,0.990004591752656,1,1432,0.9,0.95,0.05,Unpooled Estimate
153,Des153,Superiority,1,1-Sided,0.245,0.990014261198783,1,1584,0.1,0.15,0.05,Unpooled Estimate
154,Des154,Superiority,1,1-Sided,0.245,0.990011653244878,1,3186,0.3,0.35,0.05,Unpooled Estimate
155,Des155,Superiority,1,1-Sided,0.245,0.990001258370662,1,3622,0.5,0.55,0.05,Unpooled Estimate
156,Des156,Superiority,1,1-Sided,0.245,0.990018228521443,1,2094,0.8,0.85,0.05,Unpooled Estimate
157,Des157,Superiority,1,1-Sided,0.245,0.990039121152505,1,1002,0.9,0.95,0.05,Unpooled Estimate
